name,company,year,Price,kms_driven,fuel_type
Aqua,Toyota,2013,4975000,48000,Hybrid
Aqua,Toyota,2014,6195000,53000,Petrol
Aqua,Toyota,2015,7475000,53300,Hybrid
Aqua,Toyota,2015,7475000,54000,Petrol
Aqua,Toyota,2014,6195000,55000,Petrol
Aqua,Toyota,2014,5600000,55000,Hybrid
Aqua,Toyota,2015,7475000,55000,Hybrid
Aqua,Toyota,2014,6195000,55227,Hybrid
Aqua,Toyota,2013,4975000,55400,Hybrid
Aqua,Toyota,2012,5200000,56000,Hybrid
Aqua,Toyota,2015,7475000,56000,Hybrid
Aqua,Toyota,2012,5200000,57000,Petrol
Aqua,Toyota,2013,5600000,57000,Hybrid
Aqua,Toyota,2013,5600000,58000,Petrol
Aqua,Toyota,2013,5600000,60000,Petrol
Aqua,Toyota,2013,5600000,60000,Petrol
Aqua,Toyota,2014,6195000,60000,Petrol
Aqua,Toyota,2016,7600000,60000,Petrol
Aqua,Toyota,2012,5200000,60100,Hybrid
Aqua,Toyota,2013,5600000,62000,Hybrid
Aqua,Toyota,2014,6195000,62000,Petrol
Aqua,Toyota,2013,5600000,62000,Hybrid
Aqua,Toyota,2012,5200000,62500,Petrol
Aqua,Toyota,2013,5600000,63000,Petrol
Aqua,Toyota,2015,7475000,63421,Hybrid
Aqua,Toyota,2013,5600000,63600,Hybrid
Aqua,Toyota,2014,6195000,64000,Hybrid
Aqua,Toyota,2014,6195000,64000,Petrol
Aqua,Toyota,2014,6195000,65000,Petrol
Aqua,Toyota,2013,5600000,65000,Petrol
Aqua,Toyota,2014,6195000,65000,Hybrid
Aqua,Toyota,2015,7475000,65000,Hybrid
Aqua,Toyota,2014,6195000,65800,Petrol
Aqua,Toyota,2012,5200000,76000,Hybrid
Aqua,Toyota,2012,5200000,76000,Petrol
Aqua,Toyota,2012,5200000,76000,Hybrid
Aqua,Toyota,2014,6195000,76000,Petrol
Aqua,Toyota,2014,6195000,76000,Hybrid
Aqua,Toyota,2013,5600000,77000,Hybrid
Aqua,Toyota,2013,5600000,77000,Petrol
Aqua,Toyota,2013,5600000,77000,Petrol
Aqua,Toyota,2014,6195000,78000,Hybrid
Aqua,Toyota,2012,5200000,78000,Petrol
Aqua,Toyota,2014,6195000,78000,Electric
Aqua,Toyota,2014,6195000,78000,Hybrid
Aqua,Toyota,2013,5600000,78000,Hybrid
Aqua,Toyota,2013,5600000,78000,Petrol
Aqua,Toyota,2014,6195000,78200,Hybrid
Aqua,Toyota,2013,5600000,79000,Petrol
Aqua,Toyota,2012,5200000,79000,Hybrid
Aqua,Toyota,2012,5200000,79000,Hybrid
Aqua,Toyota,2014,6195000,79000,Hybrid
